Count of reduce node = 1, time  = 2,11 seconds. 
Count of reduce node = 2, time  = 2,10 seconds. 
Count of reduce node = 3, time  = 2,10 seconds. 
Count of reduce node = 4, time  = 2,21 seconds. 
Count of reduce node = 5, time  = 2,11 seconds. 
Count of reduce node = 6, time  = 2,09 seconds. 
Count of reduce node = 7, time  = 2,09 seconds. 
Count of reduce node = 8, time  = 3,13 seconds. 
Count of reduce node = 9, time  = 3,13 seconds. 
Count of reduce node = 10, time  = 5,19 seconds. 
Count of reduce node = 11, time  = 5,30 seconds. 
Count of reduce node = 12, time  = 6,24 seconds. 
Count of reduce node = 13, time  = 6,30 seconds. 
Count of reduce node = 14, time  = 7,30 seconds. 
Count of reduce node = 15, time  = 6,27 seconds. 
Count of reduce node = 16, time  = 7,36 seconds. 
Count of reduce node = 17, time  = 7,35 seconds. 
Count of reduce node = 18, time  = 7,31 seconds. 
Count of reduce node = 19, time  = 8,37 seconds. 
Count of reduce node = 20, time  = 8,28 seconds. 
