Count of reduce node = 1, time  = 3,24 seconds. 
Count of reduce node = 2, time  = 3,22 seconds. 
Count of reduce node = 3, time  = 3,09 seconds. 
Count of reduce node = 4, time  = 2,08 seconds. 
Count of reduce node = 5, time  = 3,08 seconds. 
Count of reduce node = 6, time  = 3,11 seconds. 
Count of reduce node = 7, time  = 3,11 seconds. 
Count of reduce node = 8, time  = 3,10 seconds. 
Count of reduce node = 9, time  = 3,12 seconds. 
Count of reduce node = 10, time  = 3,10 seconds. 
Count of reduce node = 11, time  = 3,27 seconds. 
Count of reduce node = 12, time  = 4,11 seconds. 
Count of reduce node = 13, time  = 4,13 seconds. 
Count of reduce node = 14, time  = 5,16 seconds. 
Count of reduce node = 15, time  = 4,13 seconds. 
Count of reduce node = 16, time  = 6,16 seconds. 
Count of reduce node = 17, time  = 6,15 seconds. 
Count of reduce node = 18, time  = 4,12 seconds. 
Count of reduce node = 19, time  = 6,11 seconds. 
Count of reduce node = 20, time  = 5,11 seconds. 
