Count of reduce node = 1, time  = 2,08 seconds. 
Count of reduce node = 2, time  = 3,11 seconds. 
Count of reduce node = 3, time  = 2,08 seconds. 
Count of reduce node = 4, time  = 2,08 seconds. 
Count of reduce node = 5, time  = 4,10 seconds. 
Count of reduce node = 6, time  = 5,20 seconds. 
Count of reduce node = 7, time  = 5,40 seconds. 
Count of reduce node = 8, time  = 5,29 seconds. 
Count of reduce node = 9, time  = 6,37 seconds. 
Count of reduce node = 10, time  = 5,28 seconds. 
Count of reduce node = 11, time  = 6,31 seconds. 
Count of reduce node = 12, time  = 7,46 seconds. 
Count of reduce node = 13, time  = 6,29 seconds. 
Count of reduce node = 14, time  = 5,13 seconds. 
Count of reduce node = 15, time  = 4,15 seconds. 
Count of reduce node = 16, time  = 5,12 seconds. 
Count of reduce node = 17, time  = 5,15 seconds. 
Count of reduce node = 18, time  = 5,13 seconds. 
Count of reduce node = 19, time  = 6,16 seconds. 
Count of reduce node = 20, time  = 5,13 seconds. 
