Count of reduce node = 1, time  = 2,56 seconds. 
Count of reduce node = 2, time  = 2,17 seconds. 
Count of reduce node = 3, time  = 2,13 seconds. 
Count of reduce node = 4, time  = 2,28 seconds. 
Count of reduce node = 5, time  = 4,33 seconds. 
Count of reduce node = 6, time  = 3,13 seconds. 
Count of reduce node = 7, time  = 2,18 seconds. 
Count of reduce node = 8, time  = 2,15 seconds. 
Count of reduce node = 9, time  = 4,15 seconds. 
Count of reduce node = 10, time  = 3,15 seconds. 
Count of reduce node = 11, time  = 4,12 seconds. 
Count of reduce node = 12, time  = 4,13 seconds. 
Count of reduce node = 13, time  = 4,13 seconds. 
Count of reduce node = 14, time  = 4,12 seconds. 
Count of reduce node = 15, time  = 4,13 seconds. 
Count of reduce node = 16, time  = 4,23 seconds. 
Count of reduce node = 17, time  = 6,24 seconds. 
Count of reduce node = 18, time  = 7,33 seconds. 
Count of reduce node = 19, time  = 8,38 seconds. 
Count of reduce node = 20, time  = 7,33 seconds. 
