Count of reduce node = 1, time  = 2,10 seconds. 
Count of reduce node = 2, time  = 2,12 seconds. 
Count of reduce node = 3, time  = 2,09 seconds. 
Count of reduce node = 4, time  = 2,09 seconds. 
Count of reduce node = 5, time  = 4,33 seconds. 
Count of reduce node = 6, time  = 3,28 seconds. 
Count of reduce node = 7, time  = 4,26 seconds. 
Count of reduce node = 8, time  = 5,22 seconds. 
Count of reduce node = 9, time  = 5,30 seconds. 
Count of reduce node = 10, time  = 5,31 seconds. 
Count of reduce node = 11, time  = 6,25 seconds. 
Count of reduce node = 12, time  = 5,30 seconds. 
Count of reduce node = 13, time  = 7,33 seconds. 
Count of reduce node = 14, time  = 6,33 seconds. 
Count of reduce node = 15, time  = 6,31 seconds. 
Count of reduce node = 16, time  = 7,31 seconds. 
Count of reduce node = 17, time  = 8,36 seconds. 
Count of reduce node = 18, time  = 8,34 seconds. 
Count of reduce node = 19, time  = 5,24 seconds. 
Count of reduce node = 20, time  = 6,39 seconds. 
